Message stats for scenario BubbleRap_TTL30
sim_time: 1875143.0000
created: 54343
started: 6814
relayed: 6780
aborted: 34
dropped: 59017
removed: 1280
delivered: 775
delivery_prob: 0.0143
deliverycost: 0.1248
response_prob: 0.0000
overhead_ratio: 7.7484
latency_avg: 579.7213
latency_med: 441.0000
hopcount_avg: 3.2981
hopcount_med: 4
buffertime_avg: 1702.1787
buffertime_med: 1768.0000
rtt_avg: NaN
rtt_med: NaN

Message: message path and copies

Y38402(CreateFrom:n42,Dest:n19): {n42=8}
Y47452(CreateFrom:n32,Dest:n46): {n32=8}
Y38401(CreateFrom:n3,Dest:n5): {n3=0, n24=7}
Y47457(CreateFrom:n20,Dest:n29): {n20=8}
Y38400(CreateFrom:n30,Dest:n20): {n30=8}
Y47458(CreateFrom:n40,Dest:n20): {n40=8}
Y47455(CreateFrom:n6,Dest:n45): {n6=8}
Y47456(CreateFrom:n6,Dest:n33): {n6=8}
Y47459(CreateFrom:n23,Dest:n19): {n23=8}
Y47440(CreateFrom:n7,Dest:n6): {n7=8}
Y47441(CreateFrom:n28,Dest:n10): {n28=8}
Y47442(CreateFrom:n33,Dest:n43): {n33=8}
Y47443(CreateFrom:n8,Dest:n5): {n8=8}
Y47444(CreateFrom:n37,Dest:n4): {n37=8}
Y47445(CreateFrom:n43,Dest:n15): {n43=8}
Y47446(CreateFrom:n46,Dest:n1): {n46=8}
Y47447(CreateFrom:n44,Dest:n6): {n44=8}
Y47448(CreateFrom:n10,Dest:n22): {n10=8}
Y47449(CreateFrom:n43,Dest:n40): {n43=8}
Y47475(CreateFrom:n44,Dest:n48): {n44=8}
Y47476(CreateFrom:n10,Dest:n29): {n10=8}
Y47473(CreateFrom:n25,Dest:n22): {n25=8}
Y47474(CreateFrom:n38,Dest:n33): {n38=8}
Y47471(CreateFrom:n27,Dest:n20): {n27=8}
Y47472(CreateFrom:n32,Dest:n20): {n32=8}
Y47470(CreateFrom:n33,Dest:n38): {n33=8}
Y47479(CreateFrom:n35,Dest:n2): {n35=8}
Y47477(CreateFrom:n7,Dest:n39): {n7=8}
Y47478(CreateFrom:n17,Dest:n6): {n17=8}
Y47462(CreateFrom:n34,Dest:n11): {n34=8}
Y47463(CreateFrom:n38,Dest:n11): {n38=8}
Y47464(CreateFrom:n42,Dest:n23): {n42=8}
Y47465(CreateFrom:n16,Dest:n38): {n16=8}
Y47460(CreateFrom:n8,Dest:n47): {n8=8}
Y47461(CreateFrom:n28,Dest:n21): {n28=8}
Y47466(CreateFrom:n24,Dest:n43): {n24=8}
Y47467(CreateFrom:n14,Dest:n35): {n14=8}
Y47468(CreateFrom:n41,Dest:n15): {n41=8}
Y47469(CreateFrom:n0,Dest:n28): {n0=8}
Y47414(CreateFrom:n7,Dest:n32): {n7=8}
Y47413(CreateFrom:n30,Dest:n36): {n30=8}
Y47412(CreateFrom:n28,Dest:n19): {n28=8}
Y47411(CreateFrom:n48,Dest:n38): {n48=8}
Y47418(CreateFrom:n17,Dest:n32): {n17=8}
Y47417(CreateFrom:n0,Dest:n2): {n0=8}
Y47416(CreateFrom:n11,Dest:n13): {n11=8}
Y47415(CreateFrom:n45,Dest:n24): {n45=8}
Y47410(CreateFrom:n1,Dest:n27): {n1=8}
Y47408(CreateFrom:n38,Dest:n1): {n38=8}
Y47409(CreateFrom:n15,Dest:n20): {n15=8}
Y47401(CreateFrom:n2,Dest:n38): {n2=8}
Y47400(CreateFrom:n33,Dest:n21): {n33=8}
Y47403(CreateFrom:n30,Dest:n36): {n30=8}
Y47402(CreateFrom:n24,Dest:n9): {n24=8}
Y47405(CreateFrom:n23,Dest:n6): {n23=8}
Y47404(CreateFrom:n18,Dest:n19): {n18=8}
Y47407(CreateFrom:n36,Dest:n24): {n36=8}
Y47406(CreateFrom:n38,Dest:n45): {n38=8}
Y47439(CreateFrom:n43,Dest:n41): {n43=8}
Y27881(CreateFrom:n40,Dest:n20): {n40=8}
Y47438(CreateFrom:n30,Dest:n4): {n30=8}
Y27880(CreateFrom:n35,Dest:n21): {n35=8}
Y47437(CreateFrom:n41,Dest:n38): {n41=8}
Y27883(CreateFrom:n31,Dest:n35): {n31=8}
Y47436(CreateFrom:n39,Dest:n6): {n39=8}
Y27882(CreateFrom:n39,Dest:n10): {n39=8}
Y47435(CreateFrom:n8,Dest:n32): {n8=8}
Y27885(CreateFrom:n29,Dest:n12): {n29=8}
Y47434(CreateFrom:n45,Dest:n13): {n45=8}
Y27884(CreateFrom:n46,Dest:n11): {n46=8}
Y47433(CreateFrom:n0,Dest:n14): {n0=8}
Y27887(CreateFrom:n9,Dest:n12): {n9=8}
Y47432(CreateFrom:n46,Dest:n15): {n46=8}
Y27886(CreateFrom:n46,Dest:n34): {n46=8}
Y47431(CreateFrom:n5,Dest:n9): {n5=8}
Y27889(CreateFrom:n37,Dest:n44): {n37=8}
Y47430(CreateFrom:n46,Dest:n28): {n46=8}
Y27888(CreateFrom:n39,Dest:n23): {n39=8}
Y27892(CreateFrom:n5,Dest:n18): {n5=8}
Y47427(CreateFrom:n9,Dest:n20): {n9=8}
Y27891(CreateFrom:n25,Dest:n23): {n25=8}
Y47426(CreateFrom:n28,Dest:n24): {n28=8}
Y27890(CreateFrom:n5,Dest:n37): {n5=8}
Y47429(CreateFrom:n20,Dest:n28): {n20=8}
Y47428(CreateFrom:n45,Dest:n3): {n45=8}
Y27896(CreateFrom:n25,Dest:n8): {n25=8}
Y47423(CreateFrom:n23,Dest:n21): {n23=8}
Y27895(CreateFrom:n34,Dest:n43): {n34=8}
Y47422(CreateFrom:n39,Dest:n21): {n39=8}
Y27894(CreateFrom:n14,Dest:n7): {n14=8}
Y47425(CreateFrom:n2,Dest:n14): {n2=8}
Y27893(CreateFrom:n29,Dest:n22): {n29=8}
Y47424(CreateFrom:n17,Dest:n42): {n17=8}
Y27899(CreateFrom:n28,Dest:n19): {n28=8}
Y27898(CreateFrom:n34,Dest:n6): {n34=8}
Y47421(CreateFrom:n17,Dest:n44): {n17=8}
Y27897(CreateFrom:n18,Dest:n11): {n18=8}
Y47420(CreateFrom:n5,Dest:n41): {n5=8}
Y47419(CreateFrom:n35,Dest:n20): {n35=8}
Y11944(CreateFrom:n27,Dest:n10): {n27=0, n18=6, n6=1}
Y11945(CreateFrom:n24,Dest:n9): {n42=7, n24=1}
Y11946(CreateFrom:n5,Dest:n24): {n5=8}
Y11947(CreateFrom:n15,Dest:n32): {n18=2, n6=1, n15=1}
Y11948(CreateFrom:n12,Dest:n28): {n12=1, n18=2, n6=1, n37=4}
Y11949(CreateFrom:n29,Dest:n0): {n29=8}
Y11950(CreateFrom:n12,Dest:n0): {n12=5, n18=2, n6=1}
Y11952(CreateFrom:n27,Dest:n44): {n27=1, n18=0, n6=1}
Y11951(CreateFrom:n46,Dest:n33): {n46=8}
Y11954(CreateFrom:n10,Dest:n22): {n10=8}
Y11953(CreateFrom:n5,Dest:n28): {n5=8}
Y11935(CreateFrom:n23,Dest:n22): {n23=8}
Y11936(CreateFrom:n18,Dest:n19): {n18=7, n6=1}
Y11933(CreateFrom:n29,Dest:n47): {n29=8}
Y11934(CreateFrom:n0,Dest:n30): {n0=8}
Y11939(CreateFrom:n28,Dest:n37): {n28=8}
Y11937(CreateFrom:n20,Dest:n32): {n20=8}
Y11938(CreateFrom:n38,Dest:n35): {n20=1, n38=3, n18=2, n6=1, n37=1}
Y11943(CreateFrom:n5,Dest:n3): {n5=8}
Y11942(CreateFrom:n13,Dest:n30): {n13=8}
Y11941(CreateFrom:n37,Dest:n15): {n37=0, n24=7}
Y11940(CreateFrom:n28,Dest:n17): {n28=8}
Y11966(CreateFrom:n1,Dest:n15): {n1=8}
Y11967(CreateFrom:n30,Dest:n23): {n30=8}
Y11968(CreateFrom:n20,Dest:n12): {n20=0, n12=0, n6=1, n15=6}
Y11969(CreateFrom:n19,Dest:n42): {n19=8}
Y11974(CreateFrom:n44,Dest:n13): {n44=8}
Y11973(CreateFrom:n2,Dest:n40): {n2=8}
Y11976(CreateFrom:n12,Dest:n41): {n12=4, n18=3, n6=1}
Y11975(CreateFrom:n34,Dest:n0): {n34=8}
Y11970(CreateFrom:n7,Dest:n10): {n7=8}
Y11972(CreateFrom:n2,Dest:n16): {n2=8}
Y11971(CreateFrom:n35,Dest:n33): {n35=8}
Y11959(CreateFrom:n32,Dest:n43): {n32=8}
Y11957(CreateFrom:n40,Dest:n0): {n40=8}
Y11958(CreateFrom:n10,Dest:n5): {n10=8}
Y11955(CreateFrom:n20,Dest:n16): {n20=8}
Y11956(CreateFrom:n29,Dest:n7): {n29=8}
Y11965(CreateFrom:n17,Dest:n39): {n17=8}
Y11964(CreateFrom:n48,Dest:n33): {n48=0, n44=7}
Y11963(CreateFrom:n17,Dest:n26): {n17=8}
Y11962(CreateFrom:n36,Dest:n24): {n36=8}
Y11961(CreateFrom:n2,Dest:n5): {n2=8}
