Message stats for scenario BubbleRap_TTL10
sim_time: 259200.0000
created: 1000
started: 256
relayed: 175
aborted: 81
dropped: 1059
removed: 53
delivered: 61
delivery_prob: 0.0610
deliverycost: 0.1750
response_prob: 0.0000
overhead_ratio: 1.8689
latency_avg: 148.3934
latency_med: 57.0000
hopcount_avg: 3.3770
hopcount_med: 4
buffertime_avg: 532.2860
buffertime_med: 567.0000
rtt_avg: NaN
rtt_med: NaN

Message: message path and copies

Y615(CreateFrom:n2,Dest:n26): {n2=8}
Y614(CreateFrom:n8,Dest:n68): {n8=8}
Y818(CreateFrom:n11,Dest:n20): {n11=8}
Y341(CreateFrom:n16,Dest:n34): {n16=8}
Y623(CreateFrom:n53,Dest:n7): {n52=2, n7=0, n51=2, n53=5}
Y819(CreateFrom:n13,Dest:n76): {n13=8}
Y340(CreateFrom:n36,Dest:n78): {n36=8}
Y624(CreateFrom:n45,Dest:n90): {n38=2, n45=7}
Y816(CreateFrom:n23,Dest:n45): {n23=8}
Y621(CreateFrom:n28,Dest:n30): {n28=7, n81=2}
Y817(CreateFrom:n19,Dest:n41): {n19=8}
Y622(CreateFrom:n37,Dest:n80): {n37=8}
Y814(CreateFrom:n44,Dest:n31): {n44=8}
Y815(CreateFrom:n86,Dest:n25): {n86=8}
Y620(CreateFrom:n87,Dest:n26): {n87=8}
Y812(CreateFrom:n54,Dest:n1): {n54=8}
Y813(CreateFrom:n35,Dest:n56): {n35=8}
Y349(CreateFrom:n93,Dest:n41): {n93=8}
Y348(CreateFrom:n83,Dest:n12): {n15=2, n12=0, n83=0}
Y347(CreateFrom:n72,Dest:n54): {n72=8}
Y346(CreateFrom:n9,Dest:n54): {n9=8}
Y345(CreateFrom:n47,Dest:n69): {n47=8}
Y344(CreateFrom:n83,Dest:n89): {n89=0, n83=0}
Y343(CreateFrom:n3,Dest:n66): {n3=8}
Y342(CreateFrom:n90,Dest:n77): {n77=0, n90=7, n92=0, n65=2}
Y328(CreateFrom:n81,Dest:n12): {n81=8}
Y329(CreateFrom:n70,Dest:n59): {n70=8}
Y608(CreateFrom:n73,Dest:n6): {n73=8}
Y607(CreateFrom:n89,Dest:n53): {n89=0, n53=0}
Y811(CreateFrom:n4,Dest:n77): {n4=8}
Y810(CreateFrom:n88,Dest:n16): {n88=8}
Y609(CreateFrom:n29,Dest:n57): {n29=8}
Y604(CreateFrom:n21,Dest:n92): {n21=6, n92=0, n22=2}
Y603(CreateFrom:n71,Dest:n17): {n71=8}
Y606(CreateFrom:n75,Dest:n19): {n39=2, n75=7}
Y605(CreateFrom:n71,Dest:n28): {n71=8}
Y805(CreateFrom:n69,Dest:n23): {n69=8}
Y610(CreateFrom:n88,Dest:n41): {n88=8}
Y806(CreateFrom:n31,Dest:n54): {n31=8}
Y611(CreateFrom:n23,Dest:n33): {n23=8}
Y807(CreateFrom:n53,Dest:n48): {n53=8}
